Позначка часу,Група,"Припустим, що ми навчили логістичну регресію. На новому прикладі х вона видає результат hθ(x)=0.4. Це означає (оберіть ВСІ релевантні варіанти)",Припустимо для навчальної множини використовується класифікатор логістичної регресії hθ(x) з двома ознаками. Оберіть всі коректні твердження ,Яку проблему вирішує сингулярний розклад матриці?,Масштабування даних - це,"Для логістичної регресії градієнт обчислюється за формулою. Які із формул коректно описують модифікацію вагових коефіцієнтів логістичної регресії, якщо коефіцієнт швидкості навчання рівний α. Оберіть всі можливі варіанти. ",Оберіть всі вірні твердження,Unnamed: 16,Припустимо для навчальної множини використовується класифікатор логістичної регресії hθ(x) з двома ознаками. Оберіть всі коректні твердження .1,Unnamed: 18,Оберіть на картинках всі приклади переначання моделі на навчальних даних,Оберіть на картинках всі приклади недоначання моделі на навчальних даних,Які із тверджень вірні щодо навчання логістичної регресії?,Які проблеми виникають при навчанні багатофакторної лінійної регресії з використанням нормальної системи рівнянь?,Побудувати модель класифікації на основі персептрона Розенблатта і описати функцію роздільної поверхні для обчислення логічної функції not(A&B). Навести приклади обчислення значень цієї функції. 
03.11.2023 14:04:27,ФБ-04,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат",B,"A, B",D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,Мультиколеніарність,https://drive.google.com/open?id=1mHkelz0mNEC72Mkoh90LtNBtwCBUWNv1
03.11.2023 14:10:03,ФБ-05,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків, При збільшенні кількості ітерацій навчання можливо hθ(x)>1, Для оптимального значення θ функція втрат J(θ)>=0, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,Одночасно для всіх j,"Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Значення сигмоїдної функції ніколи не перевищує 1",C,"Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат, Додавання нової ознаки в модель завжди покращує роботу моделі на навчальних даних, Логістична регересія дозволить розділити класи, оскільки це нелінійна функція, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",D,"C, B","D, A","Додавання нової ознаки в модель завжди покращує роботу моделі на тестових даних, Додавання параметру регуляризації завжди покращує роботу моделі на навчальних даних","Мультиколеніарність, Погана обумовленість матриці",
03.11.2023 14:44:23,ФБ-04,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4",Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",C,"Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат, Логістична регересія дозволить розділити класи, оскільки це нелінійна функція, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",D,D,"A, C, B","Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних, Додавання нових ознак до моделі допоможе уникнути перенавчання","Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=1rJmTfM49Jdo6iWu-dfuUn3b3djfLDHG4
03.11.2023 14:56:45,ФБ-02,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона",A,"Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",D,"D, C","B, A","Додавання нових ознак до моделі допоможе уникнути перенавчання, Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних","Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=1Gx474JMlbLLf-jAw60qFKXl7Dp4zGaFz
03.11.2023 15:35:36,ФІ-01,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків, Для оптимального значення θ функція втрат J(θ)>=0, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",C,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,B,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=1e7ucEJ0wjkHYkQlh3cZZ-EHNTvJh8UIX
03.11.2023 15:47:26,ФІ-01,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0, При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",C,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,B,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=11auRYCZlz1ExHwNl19TKdL0GcFt2AZKe
03.11.2023 15:53:24,ФБ-04,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, При додаванні властивостей вищих порядків значення функції втрат J(θ) збільшиться, оскільки збільшиться кількість доданків",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Значення сигмоїдної функції ніколи не перевищує 1, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0",C,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат",B,"B, A",D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=1UcD8ZXi53scxQg86dTGX1y27PyklVb27
03.11.2023 16:28:05,ФІ-02,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"Одночасно для всіх j, для всіх j одночасно","Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1",D,"Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Логістична регересія дозволить розділити класи, оскільки це нелінійна функція",C,A,D,"Додавання нових ознак до моделі допоможе уникнути перенавчання, Додавання параметру регуляризації завжди покращує роботу моделі на навчальних даних","Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=1nWqI3WoNh_kH7ESaMPkuWfQ8274bPA9x
03.11.2023 16:44:18,ФБ-06,"P(y=0|x;θ)=0.6, P(y=1|x;θ)=0.4","Для оптимального значення θ функція втрат J(θ)>=0, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Значення сигмоїдної функції ніколи не перевищує 1",C,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,B,A,D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=1drEdK0jW_HIRwZLhckVDetSvVe_YPezA
03.11.2023 16:46:33,ФІ-03,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Жодних проблем,Спосіб попередньої обробки даних в аналізі даних,"Одночасно для всіх j, для всіх j одночасно","Значення сигмоїдної функції ніколи не перевищує 1, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу",A,Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних,A,"B, A",D,Додавання нової ознаки в модель не погіршує роботу моделі на навчальних даних,"Погана обумовленість матриці, Мультиколеніарність",https://drive.google.com/open?id=1XJpySxnafOcr2RNIwbczxGwHvs4f9y_l
03.11.2023 17:03:22,ФБ-03,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних, Для оптимального значення θ функція втрат J(θ)>=0",Навчання багатофакторної лінійної регресії,Приведення даних до заданого діапазону,"для всіх j одночасно, Одночасно для всіх j","Значення сигмоїдної функції ніколи не перевищує 1, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0",C,"Логістична регересія дозволить розділити класи, оскільки це нелінійна функція, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",B,A,D,Додавання нових ознак до моделі допоможе уникнути перенавчання,"Мультиколеніарність, Погана обумовленість матриці",https://drive.google.com/open?id=1hTSKEm0SHp8UasGXHynDoexzYk14gC94
03.11.2023 17:09:41,ФБ-05,"P(y=1|x;θ)=0.4, P(y=0|x;θ)=0.6","Для оптимального значення θ функція втрат J(θ)>=0, Додавання поліноміальних властивостей (членів вищих порядків) може підвищити точність опису навчальних даних",Навчання багатофакторної лінійної регресії,Стандартизація,"Одночасно для всіх j, Варіант 2","Значення функції втрат логістичної регресії після навчання хоча б на 1 прикладі завжди більше або рівне 0, Лінійну регресію можна використовувати для задач класифікації, якщо ввести поняття порогу, Для логістичної регресії алгоритм градієнтного спуску може приводити в локальний мінімум. Для подолання цієї проблеми використовують методи оптимізації вищих порядків, наприклад метод Ньютона",A,"Класи не є лінійно роздільними, тому метод градієнтного спуску не знайде мінімум функції втрат, Додавання нової ознаки в модель завжди покращує роботу моделі на навчальних даних",A,"B, A","D, C","Додавання параметру регуляризації завжди покращує роботу моделі на навчальних даних, Додавання нових ознак до моделі допоможе уникнути перенавчання","Погана обумовленість матриці, Сингулярний розклад, Мультиколеніарність, Всі прераховані",https://drive.google.com/open?id=1AYT9yuRtpfouUNJnAFMD9KUFZBprWJKM
